,,,,,"Normalized abundance",,,"Raw abundance",,
"AT1G07350.1;AT1G07350.2","27","25","569.91","| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:2257732-2260101 REVERSE LENGTH=382","8597532.82514803","53467306.6276926","10746285.9310289","17381974.877446","53467306.6276926","42420788.2549912"
"AT1G07660.1;AT1G07660.2","3","3","96.9","| Symbols:  | Histone superfamily protein | chr1:2369212-2369523 FORWARD LENGTH=103","144811.837898218","363411.925552061","0","292771.866010325","363411.925552061","0"
"AT1G07705.1","2","1","66.29","| Symbols:  | NOT2 / NOT3 / NOT5 family | chr1:2382090-2385282 FORWARD LENGTH=546","1680069.34549871","486159.691018989","101604.996656219","3396663.17648783","486159.691018989","401084.065366005"
"AT1G07920.1;AT1G07930.2;AT5G60390.2","12","12","499.88","| Symbols:  | GTP binding Elongation factor Tu family protein | chr1:2455559-2457001 FORWARD LENGTH=449","1609776.172148","7146814.07413085","82.0515816513896","3254548.6654895","7146814.07413085","323.897278888751"
"AT1G08050.1","6","6","164.03","| Symbols:  | Zinc finger (C3HC4-type RING finger) family protein | chr1:2499088-2501311 REVERSE LENGTH=641","162194.566529947","323102.95705625","1163063.54367907","327915.221496492","323102.95705625","4591174.34899537"
"AT1G08390.1","1","1","36.71","| Symbols:  | unknown protein; Has 62 Blast hits to 62 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 34; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:2642220-2643103 FORWARD LENGTH=137","206551.357402946","1366.3974227541","3280.93124818517","417593.114012746","1366.3974227541","12951.4225334894"
"AT1G08420.2","5","2","351.78","| Symbols: BSL2 | BRI1 suppressor 1 (BSU1)-like 2 | chr1:2649959-2656564 FORWARD LENGTH=1013","5187380.56371268","5505102.27844354","49680.144654246","10487534.0951842","5505102.27844354","196111.559880422"
"AT1G08680.1;AT1G08680.3","15","15","546.9","| Symbols: ZIGA4, AGD14 | ARF GAP-like zinc finger-containing protein ZIGA4 | chr1:2762820-2768387 FORWARD LENGTH=649","2885866.40870316","2704345.0407847","10820.4817409378","5834471.17166196","2704345.0407847","42713.67500319"
"AT1G08800.1","3","3","76.93","| Symbols:  | Protein of unknown function, DUF593 | chr1:2813578-2817078 REVERSE LENGTH=1113","16796.4008274929","0","169392.854975174","33957.9531887354","0","668675.529287942"
"AT1G08820.1","2","2","67.48","| Symbols: VAP27-2 | vamp/synaptobrevin-associated protein 27-2 | chr1:2821810-2824412 REVERSE LENGTH=386","2024921.33696018","1802205.21645234","169460.263731486","4093864.19612073","1802205.21645234","668941.624252883"
"AT1G08880.1;AT1G51060.1","5","4","182.29","| Symbols: HTA5, H2AXA, G-H2AX, GAMMA-H2AX | Histone superfamily protein | chr1:2847144-2847676 REVERSE LENGTH=142","2400072.49880928","4245357.86114661","593089.447068149","4852322.25648799","4245357.86114661","2341210.90875711"
"AT1G09210.1","5","5","426.34","| Symbols: CRT1b, AtCRT1b | calreticulin 1b | chr1:2973217-2976655 REVERSE LENGTH=424","20.0267588105778","15508.7706903834","11261096.5525775","40.4888967104512","15508.7706903834","44452994.7780914"
"AT1G09630.1","1","1","41.8","| Symbols: ATRAB11C, ATRABA2A, ATRAB-A2A, RAB-A2A, RAB11c | RAB GTPase 11C | chr1:3118350-3119571 REVERSE LENGTH=217","339538.453925673","2586.27223228968","5547.19044783226","686458.428957643","2586.27223228968","21897.4437222212"
"AT1G09640.1","2","1","67.32","| Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:3120162-3122152 FORWARD LENGTH=414","8958.34649935964","140296.872538277","8806.55147619504","18111.4462674522","140296.872538277","34763.718165145"
"AT1G09730.1","1","1","45.65","| Symbols:  | Cysteine proteinases superfamily protein | chr1:3148017-3154236 REVERSE LENGTH=963","22540.680786955","157631.256343605","1287680.88597854","45571.3929946682","157631.256343605","5083099.27305882"
"AT1G09770.1","11","11","286.31","| Symbols: ATCDC5, CDC5, ATMYBCDC5 | cell division cycle 5 | chr1:3162002-3165122 FORWARD LENGTH=844","1775430.52524164","3158369.89979614","377774.676171331","3589458.67541594","3158369.89979614","1491259.36614899"
"AT1G09840.1","4","4","137.56","| Symbols: ATSK41, SK41 | shaggy-like protein kinase 41 | chr1:3196114-3199524 REVERSE LENGTH=421","256613.553244803","622584.575293882","222890.813585793","518805.851216568","622584.575293882","879857.847426586"
"AT1G10140.1","3","3","94.62","| Symbols:  | Uncharacterised conserved protein UCP031279 | chr1:3322970-3323473 REVERSE LENGTH=167","601774.454521943","487354.104316929","716392.036255855","1216631.40613936","487354.104316929","2827945.86637823"
"AT1G10290.1","7","2","249.43","| Symbols: ADL6, DRP2A | dynamin-like protein 6 | chr1:3370774-3377120 FORWARD LENGTH=914","1789570.71127315","728931.694608647","48070.1273750812","3618046.45325415","728931.694608647","189756.042958141"
"AT1G10390.1","2","2","57.9","| Symbols:  | Nucleoporin autopeptidase | chr1:3407265-3412045 REVERSE LENGTH=1041","251364.300583583","119755.323328605","6210.52983707375","508193.227835147","119755.323328605","24515.9651307163"
"AT1G10450.1","3","3","44.38","| Symbols: SNL6 | SIN3-like 6 | chr1:3432313-3437979 FORWARD LENGTH=1122","689130.172941206","150551.515545752","26954.8755001759","1393241.94474917","150551.515545752","106403.930936829"
"AT1G10520.1","8","7","275.16","| Symbols:  | DNA polymerase lambda (POLL) | chr1:3465964-3469248 FORWARD LENGTH=529","11086219.1586584","3412906.33674723","47781.3509894182","22413451.256389","3412906.33674723","188616.102890672"
"AT1G10890.1","7","6","180.93","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: petal, flower, leaf; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiat","2359183.88260196","9081036.61555309","69013.2253360218","4769656.11096189","9081036.61555309","272428.580214884"
"AT1G10900.1","1","1","35.1","| Symbols:  | Phosphatidylinositol-4-phosphate 5-kinase family protein | chr1:3632396-3636416 REVERSE LENGTH=754","142013.786493095","6694.17079140005","15288.3487964636","287114.933932392","6694.17079140005","60350.5072567096"
"AT1G10990.1","3","3","100.1","| Symbols:  | unknown protein; Has 4 Blast hits to 4 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:3670513-3671091 REVERSE LENGTH=166","850254.075587739","600860.291277724","4161198.85235424","1718992.56238753","600860.291277724","16426264.5285608"
"AT1G11210.1","1","1","26.83","| Symbols:  | Protein of unknown function (DUF761) | chr1:3755876-3756911 REVERSE LENGTH=308","1312786.39021741","4471843.09619523","268745.824792783","2654112.58302688","4471843.09619523","1060869.75547803"
"AT1G11310.1","2","2","39.37","| Symbols: MLO2, ATMLO2, PMR2 | Seven transmembrane MLO family protein | chr1:3800899-3803870 REVERSE LENGTH=573","2284469.4793408","5941476.48249487","134519.483453544","4618603.02318883","5941476.48249487","531013.464594016"
"AT1G11360.1","5","3","131.6","| Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr1:3822171-3822899 REVERSE LENGTH=242","998531.046724121","122020.419571717","311022.859142715","2018770.02641274","122020.419571717","1227757.65830492"
"AT1G12000.1","1","1","51.21","| Symbols:  | Phosphofructokinase family protein | chr1:4050159-4053727 REVERSE LENGTH=566","2181900.06266489","629427.699953974","86231.9696612502","4411234.34427665","629427.699953974","340399.292303262"
"AT1G12360.1","9","9","351.28","| Symbols: KEU | Sec1/munc18-like (SM) proteins superfamily | chr1:4201172-4206144 FORWARD LENGTH=666","1872026.88567673","5250974.00433642","1354580.39268414","3784751.38839334","5250974.00433642","5347183.98349144"
"AT1G12830.1","1","1","51.24","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 39778 Blast hits to ","0","0","2341968.82228112","0","0","9244883.68794659"
"AT1G12850.1","2","2","80.71","| Symbols:  | Phosphoglycerate mutase family protein | chr1:4380022-4381577 REVERSE LENGTH=405","183792.828336823","1040675.39840757","103345.738905301","371581.288466948","1040675.39840757","407955.616972648"
"AT1G12910.1","3","2","84.51","| Symbols: ATAN11, LWD1 | Transducin/WD40 repeat-like superfamily protein | chr1:4395114-4396154 REVERSE LENGTH=346","306860.881376194","204097.626420968","2794.79339057078","620392.87775096","204097.626420968","11032.4012778712"
"AT1G13020.1","3","2","57.86","| Symbols: EIF4B2 | eukaryotic initiation factor 4B2 | chr1:4440927-4443520 REVERSE LENGTH=549","112003.953291354","52755.1862564253","596493.632208044","226442.857721968","52755.1862564253","2354648.87401572"
"AT1G13030.1","4","4","291.9","| Symbols:  | sphere organelles protein-related | chr1:4444284-4447278 REVERSE LENGTH=608","405634.747828048","119718.007782472","5636742.28566204","820087.941454863","119718.007782472","22250948.1399153"
"AT1G13120.1","1","1","28.73","| Symbols: emb1745 | embryo defective 1745 | chr1:4469334-4472775 REVERSE LENGTH=611","0","0","70631.2877006108","0","0","278815.854980523"
"AT1G13160.1","1","1","102.23","| Symbols:  | ARM repeat superfamily protein | chr1:4484634-4488388 FORWARD LENGTH=804","48124.7359000349","33041.0130692412","980609.000665898","97295.6971971462","33041.0130692412","3870938.01943942"
"AT1G13220.2","3","3","185.53","| Symbols: LINC2 | nuclear matrix constituent protein-related | chr1:4515699-4520071 FORWARD LENGTH=1128","1766222.76519539","482685.959319218","23398.8229904767","3570842.97983716","482685.959319218","92366.4717154981"
"AT1G13370.1","1","1","45.25","| Symbols:  | Histone superfamily protein | chr1:4587926-4588522 REVERSE LENGTH=136","0","0","124686.001897187","0","0","492195.956704421"
"AT1G13580.2","1","1","28.55","| Symbols: LAG13 | LAG1 longevity assurance homolog 3 | chr1:4645006-4646765 REVERSE LENGTH=308","0","0","4134655.00470014","0","0","16321483.1233354"
"AT1G13940.1","2","1","29.76","| Symbols:  | Plant protein of unknown function (DUF863) | chr1:4762703-4765923 REVERSE LENGTH=1005","46395.6367238819","27852.4524208602","956606.987982264","93799.9084573125","27852.4524208602","3776190.46625864"
"AT1G14570.1","1","1","40.44","| Symbols:  | UBX domain-containing protein | chr1:4983770-4987192 FORWARD LENGTH=468","5809931.99896866","1516631.563069","0","11746171.1516064","1516631.563069","0"
"AT1G14650.1","1","1","44.85","| Symbols:  | SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / ubiquitin family protein | chr1:5028077-5030520 FORWARD LENGTH=785","1497660.90658902","353796.63527725","151850.569173115","3027880.76331828","353796.63527725","599427.642502332"
"AT1G14850.1","3","3","87.5","| Symbols: NUP155 | nucleoporin 155 | chr1:5116921-5123259 REVERSE LENGTH=1464","941030.385402895","204465.208725544","112300.469163156","1902518.64699392","204465.208725544","443304.268459039"
"AT1G14980.1","6","6","163.17","| Symbols: CPN10 | chaperonin 10 | chr1:5165930-5166654 REVERSE LENGTH=98","557147.189162564","4091394.37291572","1391.20442333836","1126406.68457077","4091394.37291572","5491.75674652773"
"AT1G15020.2","1","1","94.44","| Symbols: ATQSOX1, QSO2, QSOX1 | quiescin-sulfhydryl oxidase 1 | chr1:5173341-5176105 REVERSE LENGTH=528","81517.2721366467","27949.1039201232","0","164806.718994146","27949.1039201232","0"
"AT1G15230.1","3","3","208.25","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 26 Blast hits to 26 ","4547794.93224379","2629573.09009866","165052.230299543","9194458.3251622","2629573.09009866","651540.984251536"
"AT1G15240.2","7","7","438.51","| Symbols:  | Phox-associated domain;Phox-like;Sorting nexin, C-terminal | chr1:5243799-5248604 FORWARD LENGTH=1020","1061287.14529512","5897170.34633468","1768102.78909863","2145646.53284223","5897170.34633468","6979556.89163684"
"AT1G15270.1;AT3G16040.1","4","4","119.18","| Symbols:  | Translation machinery associated TMA7 | chr1:5250833-5252020 REVERSE LENGTH=64","962949.744387332","1964192.30041114","312640.041277771","1946833.88892969","1964192.30041114","1234141.45837885"
"AT1G15280.1","10","10","527.35","| Symbols:  | CASC3/Barentsz eIF4AIII binding | chr1:5252538-5256214 FORWARD LENGTH=584","16668721.7038822","21158520.7313375","27219045.0803829","33699819.2142441","21158520.7313375","107446736.041522"
"AT1G15340.1;AT1G15340.2","7","7","355.84","| Symbols: MBD10 | methyl-CPG-binding domain 10 | chr1:5275895-5277474 REVERSE LENGTH=384","997744.665966145","470591.008137266","4519890.39116622","2017180.16908306","470591.008137266","17842193.5215597"
"AT1G15400.1;AT1G80180.1","4","4","139.81","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein m","790083.549000427","472603.3034906","19439.5039596677","1597343.40991857","472603.3034906","76737.1244863364"
"AT1G15440.1","6","6","636.07","| Symbols: PWP2, ATPWP2 | periodic tryptophan protein 2 | chr1:5306159-5309460 REVERSE LENGTH=900","2766558.10901551","2796420.1315758","147195.618233206","5593260.82562226","2796420.1315758","581052.299669784"
"AT1G15690.1","2","2","145.3","| Symbols: AVP1, ATAVP3, AVP-3, AtVHP1;1 | Inorganic H pyrophosphatase family protein | chr1:5399115-5402185 FORWARD LENGTH=770","1338144.46571104","156906.301119364","8.97387805814237","2705380.01522339","156906.301119364","35.4242371153922"
"AT1G15750.1","4","3","195.8","| Symbols: WSIP1, TPL | Transducin family protein / WD-40 repeat family protein | chr1:5415086-5420359 REVERSE LENGTH=1131","11311039.7755082","4779289.96455269","112216.057133246","22867980.0605809","4779289.96455269","442971.053349187"
"AT1G15780.1","2","2","47.44","| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G10440.1); Has 103701 Blast hits to 43153 proteins in 1828 species: Archae - 30; Bacteria - 7385; Metazoa - 38639; Fungi - 11531; Plants - 7727; Viru","128649.485186789","24416.1579529221","174346.795055569","260095.793175948","24416.1579529221","688231.126870877"
"AT1G15940.1","9","9","264.06","| Symbols:  | Tudor/PWWP/MBT superfamily protein | chr1:5473672-5478050 FORWARD LENGTH=990","870467.614038654","460258.659826721","7485171.53161549","1759859.07894335","460258.659826721","29547592.408473"
"AT1G16010.1","3","1","80.09","| Symbols: MGT2, MRS2-1 | magnesium transporter 2 | chr1:5495462-5497082 REVERSE LENGTH=442","75.4309138281751","88.3756381636309","414345.612853108","152.501685752105","88.3756381636309","1635622.54159595"
"AT1G16270.1","3","1","67.5","| Symbols:  | Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain | chr1:5563890-5568145 FORWARD LENGTH=1147","321878.238512591","67879.6943805828","668.835056403114","650754.067382823","67879.6943805828","2640.21546488622"
"AT1G16440.1","2","0","47.93","| Symbols: RSH3 | root hair specific 3 | chr1:5615841-5617632 FORWARD LENGTH=499",,,,"0","0","0"
"AT1G16520.1","10","10","400.5","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein m","9568503.934373","6202670.54160869","20041.1063246018","19345025.8794622","6202670.54160869","79111.9399993766"
"AT1G16610.3","6","5","206.23","| Symbols: SR45 | arginine/serine-rich 45 | chr1:5675925-5678686 REVERSE LENGTH=425","27625781.6775666","5934480.23234067","5991912.68611149","55852144.1970769","5934480.23234067","23652977.4967188"
"AT1G16860.1","5","3","179.35","| Symbols:  | Ubiquitin-specific protease family C19-related protein | chr1:5768280-5770183 FORWARD LENGTH=474","483822.47655723","1985537.64617175","16599.2508152757","978163.189800517","1985537.64617175","65525.2715724905"
"AT1G17100.1","1","1","64.44","| Symbols:  | SOUL heme-binding family protein | chr1:5844766-5845539 FORWARD LENGTH=232","3735.13307797436","254268.730116163","0","7551.46745533361","254268.730116163","0"
"AT1G17130.1","1","1","109.78","| Symbols:  | Family of unknown function (DUF572)  | chr1:5854264-5856472 FORWARD LENGTH=331","992822.953684054","781450.155322469","582785.260676765","2007229.74714444","781450.155322469","2300535.30121657"
"AT1G17210.1","13","13","507.68","| Symbols: ATILP1, ILP1 | IAP-like protein 1 | chr1:5880502-5884657 REVERSE LENGTH=958","2722390.961256","4635900.41364025","2413189.38369766","5503966.3421492","4635900.41364025","9526025.69129947"
"AT1G17450.1","2","2","39.27","| Symbols:  | B-block binding subunit of TFIIIC | chr1:5988643-5996693 REVERSE LENGTH=1753","18411.882238077","307214.83731222","454617.127460885","37224.0363622266","307214.83731222","1794593.68798539"
"AT1G17580.1","1","1","39.79","| Symbols: MYA1, ATMYA1, XI-1 | myosin 1 | chr1:6039453-6049309 FORWARD LENGTH=1520","302818.86795917","26675.0767780043","314.31354307666","612220.978079521","26675.0767780043","1240.74757940621"
"AT1G17745.1","2","2","152.39","| Symbols: PGDH | D-3-phosphoglycerate dehydrogenase | chr1:6101157-6104979 FORWARD LENGTH=624","1713010.45750617","503203.062492007","40994.9073621846","3463261.53592345","503203.062492007","161826.727476412"
"AT1G17790.1","2","2","41.09","| Symbols:  | DNA-binding bromodomain-containing protein | chr1:6125532-6127276 REVERSE LENGTH=487","181089.661663189","666198.451895501","186277.128689162","366116.188633517","666198.451895501","735325.924099449"
