Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 100	Peptides 100 (2)	Peptides 250-1	Peptides 250-2	Razor + unique peptides 100	Razor + unique peptides 100 (2)	Razor + unique peptides 250-1	Razor + unique peptides 250-2	Unique peptides 100	Unique peptides 100 (2)	Unique peptides 250-1	Unique peptides 250-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 100	Identification type 100 (2)	Identification type 250-1	Identification type 250-2	Sequence coverage 100 [%]	Sequence coverage 100 (2) [%]	Sequence coverage 250-1 [%]	Sequence coverage 250-2 [%]	Intensity	Intensity 100	Intensity 100 (2)	Intensity 250-1	Intensity 250-2	LFQ intensity 100	LFQ intensity 100 (2)	LFQ intensity 250-1	LFQ intensity 250-2	MS/MS Count 100	MS/MS Count 100 (2)	MS/MS Count 250-1	MS/MS Count 250-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
REV__tr|A0A178WGJ9|A0A178WGJ9_ARATH;REV__sp|Q9CA42|CRWN3_ARATH	REV__tr|A0A178WGJ9|A0A178WGJ9_ARATH;REV__sp|Q9CA42|CRWN3_ARATH	1;1	1;1	1;1	>tr|A0A178WGJ9|A0A178WGJ9_ARATH LINC3 OS=Arabidopsis thaliana GN=AXX17_At1g62860 PE=4 SV=1;>sp|Q9CA42|CRWN3_ARATH Protein CROWDED NUCLEI 3 OS=Arabidopsis thaliana GN=CRWN3 PE=1 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	127.09	1085	1085;1085	0.0067434	5.4707	By MS/MS	By matching	By matching	By matching	0	0	0	0	5904600	5904600	0	0	0	9595900	0	0	0	0	0	0	0	0		+		10	1073	True	1309	3343	3044	3044				
REV__tr|A0A178WLG6|A0A178WLG6_ARATH;REV__sp|Q9CAD5|YODA_ARATH	REV__tr|A0A178WLG6|A0A178WLG6_ARATH;REV__sp|Q9CAD5|YODA_ARATH	1;1	1;1	1;1	>tr|A0A178WLG6|A0A178WLG6_ARATH YDA OS=Arabidopsis thaliana GN=AXX17_At1g57140 PE=4 SV=1;>sp|Q9CAD5|YODA_ARATH Mitogen-activated protein kinase kinase kinase YODA OS=Arabidopsis thaliana GN=YDA PE=1 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	95.933	883	883;883	0.0044935	5.9546	By MS/MS	By matching	By matching	By matching	0	0	0	0	20824000	20824000	0	0	0	16921000	0	0	0	1	0	0	0	1		+		11	4096	True	5057	13504;13505	12356	12356		6		809
REV__tr|B9DHE1|B9DHE1_ARATH;REV__tr|B9DH51|B9DH51_ARATH;REV__tr|A0A178V8L3|A0A178V8L3_ARATH;REV__sp|Q9CAU7|NEK2_ARATH	REV__tr|B9DHE1|B9DHE1_ARATH;REV__tr|B9DH51|B9DH51_ARATH;REV__tr|A0A178V8L3|A0A178V8L3_ARATH;REV__sp|Q9CAU7|NEK2_ARATH	1;1;1;1	1;1;1;1	1;1;1;1	>tr|B9DHE1|B9DHE1_ARATH AT3G04810 protein OS=Arabidopsis thaliana GN=At3g04810 PE=2 SV=1;>tr|B9DH51|B9DH51_ARATH AT3G04810 protein OS=Arabidopsis thaliana GN=At3g04810 PE=2 SV=1;>tr|A0A178V8L3|A0A178V8L3_ARATH NEK2 OS=Arabidopsis thaliana GN=AXX17_At3g0428	4	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	68.064	606	606;606;606;606	0.0086072	5.3273	By matching	By matching	By matching	By MS/MS	0	0	0	0	14747000	3095700	0	0	11651000	0	0	0	22132000	0	0	0	1	1		+		12	5604	True	6951	18759;18760;18761	17164	17164				
REV__tr|A0A178U986|A0A178U986_ARATH;REV__sp|Q9FH61|C3H68_ARATH	REV__tr|A0A178U986|A0A178U986_ARATH;REV__sp|Q9FH61|C3H68_ARATH	1;1	1;1	1;1	>tr|A0A178U986|A0A178U986_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g66210 PE=4 SV=1;>sp|Q9FH61|C3H68_ARATH Zinc finger CCCH domain-containing protein 68 OS=Arabidopsis thaliana GN=At5g66270 PE=2 SV=1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	49.366	449	449;449	0.0041102	6.0265	By matching	By matching	By MS/MS	By matching	0	0	0	0	4381700	0	0	4381700	0	0	0	8307500	0	0	0	1	0	1		+		13	2121	True	2597	6814	6295	6295				
REV__sp|Q9LJB5|MCC12_ARATH	REV__sp|Q9LJB5|MCC12_ARATH	1	1	1	>sp|Q9LJB5|MCC12_ARATH MATH domain and coiled-coil domain-containing protein At3g29580 OS=Arabidopsis thaliana GN=At3g29580 PE=3 SV=1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	35.04	306	306	1	-2	By matching	By matching	By MS/MS	By matching	0	0	0	0	1677800000	7047600	0	1670700000	0	0	0	1583800000	0	0	0	1	0	1	+	+		14	1077	True	1313	3347;3348;3349	3050	3050	1	6769	29	30
REV__tr|A0A178WI39|A0A178WI39_ARATH;REV__sp|Q9LMA1|FMO1_ARATH	REV__tr|A0A178WI39|A0A178WI39_ARATH;REV__sp|Q9LMA1|FMO1_ARATH	1;1	1;1	1;1	>tr|A0A178WI39|A0A178WI39_ARATH FMO1 OS=Arabidopsis thaliana GN=AXX17_At1g20200 PE=4 SV=1;>sp|Q9LMA1|FMO1_ARATH Probable flavin-containing monooxygenase 1 OS=Arabidopsis thaliana GN=FMO1 PE=2 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	60.383	530	530;530	0.00045537	6.9622	By MS/MS	By matching	By matching	By matching	0	0	0	0	26564000	26564000	0	0	0	43171000	0	0	0	1	0	0	0	1		+		15	5880	True	7287	19855	18140	18140		7		521
REV__tr|A0A178UZT3|A0A178UZT3_ARATH;REV__sp|Q9M0G0|GAGT3_ARATH	REV__tr|A0A178UZT3|A0A178UZT3_ARATH;REV__sp|Q9M0G0|GAGT3_ARATH	1;1	1;1	1;1	>tr|A0A178UZT3|A0A178UZT3_ARATH GGT4 OS=Arabidopsis thaliana GN=AXX17_At4g33550 PE=4 SV=1;>sp|Q9M0G0|GAGT3_ARATH Gamma-glutamyltranspeptidase 3 OS=Arabidopsis thaliana GN=GGT3 PE=2 SV=1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	69.148	637	637;637	0.0078431	5.3516	By matching	By matching	By MS/MS	By matching	0	0	0	0	14340000	0	0	14340000	0	0	0	27188000	0	0	0	0	0	0		+		16	1973	True	2414	6252	5742	5742				
REV__tr|A0A178V128|A0A178V128_ARATH;REV__sp|Q9SU91|LPXA_ARATH	REV__tr|A0A178V128|A0A178V128_ARATH;REV__sp|Q9SU91|LPXA_ARATH	1;1	1;1	1;1	>tr|A0A178V128|A0A178V128_ARATH LpxA OS=Arabidopsis thaliana GN=AXX17_At4g33910 PE=4 SV=1;>sp|Q9SU91|LPXA_ARATH Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial OS=Arabidopsis thaliana GN=LPXA PE=1 SV=1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	36.713	336	336;336	0.0075188	5.4363	By matching	By matching	By MS/MS	By matching	0	0	0	0	41923000	0	0	41923000	0	0	0	79484000	0	0	0	1	0	1		+		17	4553	True	5614	15056	13764	13764	2	8;6770	73	69;74
REV__tr|A0A178U719|A0A178U719_ARATH;REV__tr|Q9C8R1|Q9C8R1_ARATH;REV__tr|Q9ZUQ4|Q9ZUQ4_ARATH	REV__tr|A0A178U719|A0A178U719_ARATH;REV__tr|Q9C8R1|Q9C8R1_ARATH;REV__tr|Q9ZUQ4|Q9ZUQ4_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178U719|A0A178U719_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_ATUG00420 PE=4 SV=1;>tr|Q9C8R1|Q9C8R1_ARATH Tam1 transposon protein TNP2, putative; 12762-16371 OS=Arabidopsis thaliana GN=T4I21.6 PE=4 SV=1;>tr|Q9ZUQ4|Q9ZUQ4_ARATH Pu	3	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	85.932	754	754;887;889	0.0089774	5.3128	By matching	By matching	By matching	By MS/MS	0	0	0	0	5805100	1574000	0	0	4231100	0	0	0	16074000	0	0	0	0	0		+		18	2613	True	3216	8585;8586	7933	7933				
REV__tr|A0A178UG90|A0A178UG90_ARATH	REV__tr|A0A178UG90|A0A178UG90_ARATH	1	1	1	>tr|A0A178UG90|A0A178UG90_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g36870 PE=4 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	64.323	571	571	0.001766	6.6859	By matching	By matching	By MS/MS	By MS/MS	0	0	0	0	92888000	17504000	13347000	34134000	27902000	0	0	0	53001000	0	0	1	1	2		+		19	3520	True	4341	11618;11619;11620;11621;11622;11623	10613;10614	10614		9;10		33;34
REV__tr|Q9LTX7|Q9LTX7_ARATH;REV__tr|A0A178URI9|A0A178URI9_ARATH	REV__tr|Q9LTX7|Q9LTX7_ARATH;REV__tr|A0A178URI9|A0A178URI9_ARATH	1;1	1;1	1;1	>tr|Q9LTX7|Q9LTX7_ARATH Gb|AAF56406.1 OS=Arabidopsis thaliana GN=emb1441 PE=4 SV=1;>tr|A0A178URI9|A0A178URI9_ARATH Emb1441 OS=Arabidopsis thaliana GN=AXX17_At5g48770 PE=4 SV=1	2	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	121.43	1080	1080;1080	1	-2	By matching	By matching	By matching	By MS/MS	0	0	0	0	18608000	0	0	0	18608000	0	0	0	70692000	0	0	0	1	1	+	+		20	2681	True	3298	8774	8105	8105		11		275
REV__tr|F4JML1|F4JML1_ARATH;REV__tr|A1A6I8|A1A6I8_ARATH;REV__tr|Q9M3R8|Q9M3R8_ARATH;REV__tr|A0A178UVX1|A0A178UVX1_ARATH	REV__tr|F4JML1|F4JML1_ARATH;REV__tr|A1A6I8|A1A6I8_ARATH;REV__tr|Q9M3R8|Q9M3R8_ARATH;REV__tr|A0A178UVX1|A0A178UVX1_ARATH	1;1;1;1	1;1;1;1	1;1;1;1	>tr|F4JML1|F4JML1_ARATH Iron ion binding / oxidoreductase OS=Arabidopsis thaliana GN=At4g16765 PE=4 SV=1;>tr|A1A6I8|A1A6I8_ARATH At4g16765 OS=Arabidopsis thaliana GN=At4g16765 PE=2 SV=1;>tr|Q9M3R8|Q9M3R8_ARATH Putative uncharacterized protein (Fragment) OS	4	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	20.565	184	184;247;305;311	0.008216	5.3303	By matching	By matching	By MS/MS	By matching	0	0	0	0	6321200	0	0	6321200	0	0	0	11985000	0	0	0	1	0	1		+		21	2723	True	3354	8926	8235	8235				
REV__tr|Q3EB68|Q3EB68_ARATH;REV__tr|A0A178V8H6|A0A178V8H6_ARATH	REV__tr|Q3EB68|Q3EB68_ARATH;REV__tr|A0A178V8H6|A0A178V8H6_ARATH	1;1	1;1	1;1	>tr|Q3EB68|Q3EB68_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=At3g13674 PE=4 SV=2;>tr|A0A178V8H6|A0A178V8H6_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At3g14050 PE=4 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	10.036	95	95;96	0.0009058	6.918	By MS/MS	By matching	By matching	By matching	0	0	0	0	79776000	79776000	0	0	0	129650000	0	0	0	1	0	0	0	1		+		22	2160	True	2646	6938	6395	6395		12;13		15;18
REV__tr|A0A178WN43|A0A178WN43_ARATH	REV__tr|A0A178WN43|A0A178WN43_ARATH	1	1	1	>tr|A0A178WN43|A0A178WN43_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g38890 PE=4 SV=1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	58.108	506	506	0.0013333	6.7687	By matching	By MS/MS	By matching	By matching	0	0	0	0	20996000	0	19689000	1307400	0	0	0	2478800	0	0	1	0	0	1		+		23	3306	True	4071	10833;10834	9915	9915		14		468
REV__tr|O23578|O23578_ARATH;REV__tr|Q5U1F1|Q5U1F1_ARATH;REV__tr|Q0WP49|Q0WP49_ARATH	REV__tr|O23578|O23578_ARATH;REV__tr|Q5U1F1|Q5U1F1_ARATH;REV__tr|Q0WP49|Q0WP49_ARATH	1;1;1	1;1;1	1;1;1	>tr|O23578|O23578_ARATH Putative uncharacterized protein AT4g17350 OS=Arabidopsis thaliana GN=dl4710w PE=4 SV=1;>tr|Q5U1F1|Q5U1F1_ARATH At4g17350 OS=Arabidopsis thaliana GN=At4g17350 PE=2 SV=1;>tr|Q0WP49|Q0WP49_ARATH Putative uncharacterized protein At4g17	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	42.05	383	383;405;405	0.0097125	5.2897	By MS/MS	By matching	By matching	By matching	0	0	0	0	1489700000	982190000	388480000	47889000	71129000	0	0	0	270220000	1	0	0	0	1		+		24	5322	True	6597	17774;17775;17776;17777;17778	16257	16257		15;6771;6772		1;4;8
REV__tr|Q9FJV6|Q9FJV6_ARATH	REV__tr|Q9FJV6|Q9FJV6_ARATH	1	1	1	>tr|Q9FJV6|Q9FJV6_ARATH Major surface glycoprotein-like OS=Arabidopsis thaliana PE=4 SV=1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	61.311	545	545	0.0025862	6.4994	By matching	By MS/MS	By matching	By matching	0	0	0	0	144910000	0	144910000	0	0	0	144910000	0	0	0	1	0	0	1		+		25	2905	True	3564	9525	8779	8779		16		35
REV__tr|Q9FN84|Q9FN84_ARATH	REV__tr|Q9FN84|Q9FN84_ARATH	1	1	1	>tr|Q9FN84|Q9FN84_ARATH Hydrolase-like protein OS=Arabidopsis thaliana GN=MVA3.2 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	33.407	309	309	0.0033278	6.1874	By matching	By matching	By matching	By MS/MS	0	0	0	0	71689000	0	0	0	71689000	0	0	0	272350000	0	0	0	2	2		+		26	2804	True	3449	9234	8514;8515	8514	3;4	17	305;309	302
REV__tr|Q9LV43|Q9LV43_ARATH	REV__tr|Q9LV43|Q9LV43_ARATH	1	1	1	>tr|Q9LV43|Q9LV43_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=At3g24600 PE=4 SV=1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	33.465	306	306	0.0029711	6.356	By MS/MS	By matching	By matching	By matching	0	0	0	0	3650100	3650100	0	0	0	5932100	0	0	0	1	0	0	0	1		+		27	3664	True	4513	12043	10998	10998		18;19		291;295
REV__tr|Q9LYR0|Q9LYR0_ARATH	REV__tr|Q9LYR0|Q9LYR0_ARATH	1	1	1	>tr|Q9LYR0|Q9LYR0_ARATH IQD11 OS=Arabidopsis thaliana GN=T22N19_110 PE=2 SV=1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	50.82	443	443	0.0037113	6.0573	By matching	By matching	By MS/MS	By matching	0	0	0	0	5305700	0	0	5305700	0	0	0	10059000	0	0	0	1	0	1		+		28	1121	True	1365	3473	3158	3158		20		236
REV__tr|Q9SKE7|Q9SKE7_ARATH	REV__tr|Q9SKE7|Q9SKE7_ARATH	1	1	1	>tr|Q9SKE7|Q9SKE7_ARATH Putative retroelement pol polyprotein OS=Arabidopsis thaliana GN=At2g13330 PE=4 SV=1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	101.01	889	889	0.0055777	5.5225	By matching	By matching	By MS/MS	By matching	0	0	0	0	53973000	0	0	53973000	0	0	0	102330000	0	0	0	1	0	1		+		29	5471	True	6787	18369	16807	16807		6773;6774		276;278
